/title/tt1561457/	Double Down	1/10	A Tour De Force of Epic Nothingness	\nWhat to say about this movie, nothing really. After watching this I was\nconfused and wondered exactly what the heck I had just seen, and if I\nhad actually watched a movie or just some scenes hastily spliced\ntogether. The plot is lack luster, the acting is sub par, the\ncontinuity of the story is not there. Changing from one scene the the\nnext with barely, if any continuity. The video quality was below what\nwould be expected even for an independent film. It is apparent that\nthis movie was written as a ego-stroking for the write/director/star.I am sure that Neil Breen had a story in mind at the beginning but\nsomewhere between what he had envisioned to the final product that idea\ntook a turn for the worse. Leaving us with a hallow, unfilled piece of\ncinematic nothingness.\n
/title/tt1641398/	Little Gobie	1/10	Hongkong drops the animation ball	\nThe first Toy Story type animation to come out of Hongkong was Dragon\nBlade which was a terrific movie, really using the talent Hongkong has\nin martial arts to tell a solid family story. This was continued with\nthe success of TMNT, again having great action in it. Now Astro Boy\nmight not have been as successful as TMNT, but it was certainly great\nentertainment. I loved that movie!!! So when Little Gobie came out as\nthe next Hongkong made computer animated film I was more than eager to\nsee it. But it was really really REALLY REALLY R E A L L Y bad. OMG,\ndidn't the director see any of the other animated films made by his\nfellow countrymen??? What was on the mind of the people who paid to\nmake this movie??? Do ANY of them watch any moves at all??? All I can\nsay is, thank GOD I went alone to watch this (and the theater was\npretty empty too). I guess people can sense a stinker. Well, from now\non I'm gonna be a little more careful before choosing to watch an\nanimated movie made in Hongkong!\n
/title/tt0208065/	The Colour of Funny	10/10	Rib tickler	\n\nThis is one of the funniest films I've ever seen.  My ribs were tickled\nfrombeginning to end.  With a real talent for comedy the creators of this film\nshould\nbe proud of their achievements.  I really enjoyed it and can thoroughlyrecommend a viewing - particularly if you need a 'cheer me up'\nmoment.\n
/title/tt0208065/	The Colour of Funny	1/10	Oh sweet moses no.	\n\nIn a lifetime, everyone exposes themselves to the risk of seeing a\ntremendously bad film. It's a risk we have to take, because some of the\nbest\nfilms, are often underrated or laughed at by some people. However, the\nbest\nthing about this film is the title, a weak and tenuous pun, but non the\nless, enough to raise a smile if only for kitsch value. Please beware of\nthis film, it's indescribably bad. Go read a book.\n
/title/tt1346259/	Dead & Nowhere	1/10	The longest 85-minute movie ever	\nThis movie is terrible. The opening scene has a hooker getting killed.\nAnd then we get the cliché scene of a homeless guy finding the body -\nwhich is still in the killer's car. Hello, big clue - killer's car. But\ninstead of talking about that, the cops who arrive on the scene talk\nabout how they would have liked to have had sex with the hooker. One of\nthe cops says the hooker was in the wrong place at the wrong time.\nWhat? It's the same place and the same time as always. I mean, she's a\nhooker. Hello? Anyway, our main character is a priest/cab driver who\nlikes to preach to the hookers for an hour every night at a fast food\njoint. I thought the hookers were transvestites at first, so for a\nmoment I was interested. But it turns out they're just ugly women. That\nscene outside the food joint is insanely long, but really every single\nscene in this film goes on much too long. We're introduced in that\nscene to Bob, some security guy outside a plant who wants the priest to\nask the whores not to hook near the plant anymore because he might lose\nhis job. What? Who cares? Anyway, the main cop character thinks it's\nthe priest who is the killer, so he follows him around, and even enters\nhis apartment without a warrant - and he uses his flashlight, even\nthough the lamp is on right next to him. The cops for one scene decide\nto hide in a van near the hookers in case the killer comes. For some\nreason their surveillance cameras can only pick up the girls feet and\nlegs. We have lots and lots of shots of their boots - apparently the\ndirector's fetish. And about a half hour in, we suddenly get narration\nby the main cop character for no reason - and again two other times,\nand again for no reason. Anyway, near the end, when we find out who the\nkiller is, the killer actually says something about his Mommy once\ntelling him he wasn't allowed to talk to any other women but her. Ugh.\nSo it's the killer's Mommy's fault. Of course it is. Who cares? At\nfirst this movie is so bad that it's funny. I was laughing out loud for\nthe first twenty minutes or so, but then it just drags and drags, and\nyou just want every character to get killed so the bloody thing can be\nover. But this movie really has no other murders, at least not by the\nkiller. And for a film with a lot of whores, we don't even get any\ngratuitous nudity, apart from that shot at the very beginning, and even\nthat is through the car's windshield. I mean, hell, the filmmakers\ncould have least given us that, since they weren't giving us anything\nelse.\n
/title/tt0206910/	Mafia Connection	1/10	Karin Schubert goes hardcore	\n\nUnless you have a penchant for fisting or golden showers, this film serves\nonly as a curiosity in that it features former softcore/pseudo-mainstream\nactress, Karin Schubert performing in a hardcore sex scene.  Note: She\ndoes\nnot engage in any of the nasty aforementioned acts.  Just straight\nsex.\n
/title/tt1690519/	Sto xespasma tou feggariou	1/10	Beware of the moon (or this movie)	"\nLet me start off by giving this movie the credit its due to get. It\nstays true to itself from beginning til the end. And while I am\nanything but a fan of telenovelas, shouldn't I have known, what I let\nmyself into? Let me clarify this, as stated at some of my other\nreviews, I do not read anything about movies I'm about to see. And\nsince I was in Greece I wanted to watch a few movies that were made\nthere to get a sense of the film culture.The good, the bad and the ugly ... this could be categorized in the\nlatter two. The actors might look good, but is that what you look for\nin ""actors""? Suffice to say, that they probably had a great time\nshooting this, but when ""feelings"" get beat into your head, nausea is\nthere to engulf you ...When our two main ... people meet and see each other eye-to-eye, you\nget a slow motion scene that will haunt you for the rest of the movie\n(quite literally at times). And while the telenovela audience might not\nhave a problem with the cliché ridden story, this is something that\nshould never have ""graced"" the big screen. It is too easy to trash this\nmovie (for obvious reasons) ... so I will stop here. The brother and\none of the fathers seemed to bring some quality into this ... but it\nnever happened. Goes to show you though, that with bad directing (and\nscript) even performances cannot overshadow that ...\n"
/title/tt1434941/	Sure Looks Good	7/10	True film about the situations we as women can put ourselves in...And friends to get you out!	"\nI liked this film. I actually came across it on a message board. I\nfigured I'd watch it out of boredom, and I was pleasantly surprised.\nIt's sort of like the hood version of ""Waiting to Exhale"". But don't\nthink its a movie JUST for black women, because I really think any\nwoman of any race can relate.Maybe I enjoyed it because it was shot in Philadelphia ( My home away\nfrom home) or maybe it was because I saw myself in each of the women.\nSome of the acting needed work, but you can definitely get passed that.\nThe ladies were enjoyable, and the message is friendship is everything.\nYou can get through anything with your girls holding you down!\n"
/title/tt1434941/	Sure Looks Good	9/10	4 different women.... 4 unique stories	\nCan you count on your friends through thick and thin? Better yet, who\ndo you run to when you feel like you're carrying the weight of the\nworld on your shoulders? I had the chance to review Sure Looks Good\nfrom Maverick Entertainment Group and it showed me that there's no\nproblem too big for your friends to help you solve.While much of the storyline felt somewhat familiar, there is something\nspecial about this film. It takes us through the lives of four\ndifferent women as they try to deal with motherhood, personal\nstruggles, relationships, and more. This is a movie that exemplifies\nthe true meaning of friendship. April, Pam, Sharon, and Simone each\nhave their own vice they are trying to overcome. Whether it's a sexual\naddiction, cheating, bad parenting, or lack of spousal support, their\nloyalty to one another cannot be questioned.Sure Looks Good is a romantic drama that exploits good friends as they\nidentify those obstacles and overcome them together. What struck me the\nmost was how the film combined a little bit of everything from drama,\ncomedy, and romance. It offered a lot more than I expected. You not\nonly care about the characters in this film, you actually see them grow\nup on screen.Though the cast was all African American actors, this is movie for all\nethnic backgrounds. Anyone can relate to the issues these women are\nfacing.\n
/title/tt0464996/	Kibris: La ley del equilibrio	1/10	Worst movie ever about vampires	\nI think it is the worst movie I ever seen. It has a lot of errors, a\nreally bad sound and a horrible performance of the actors. It seems\nthat a kid about 13 years old will do a better movie, maybe it would be\nbetter if it was directed by a child.The film is about vampires. A half of vampires want to destroy the\nhuman race to have the power in the world. Other vampires will fight\nagainst his own race in order to remain the balance of the good and the\nbad forces.I am not sure about what mythology used in the movie. They use some of\nthe Dracula mythology but it seems that they had invented a lot and a\nlot of new things about vampires. It looks so bad.\n
